"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0.0073713407802445,-0.186930876707076,0.529,0.618,1,"heterozygous","Swt1","DOWN","Swt1"
0.00738620162245229,-0.169793070128134,0.642,0.729,1,"heterozygous","Adnp","DOWN","Adnp"
0.00742546971623578,0.105983123756964,0.845,0.84,1,"heterozygous","Timp3","UP","Timp3"
0.00745938025351737,-0.191205573375114,0.7,0.752,1,"heterozygous","Ube2b","DOWN","Ube2b"
0.00746810888941366,0.202992312528971,0.351,0.284,1,"heterozygous","Ly6a","UP","Ly6a"
0.00747136580795989,0.200609842902346,0.302,0.235,1,"heterozygous","Cldn8","UP","Cldn8"
0.00751605240184829,-0.129260929881077,0.468,0.584,1,"heterozygous","Mfn1","DOWN","Mfn1"
0.00751629628218893,0.15759576893335,0.236,0.172,1,"heterozygous","Chmp5","UP","Chmp5"
0.00752689614129176,-0.165991194567839,0.27,0.349,1,"heterozygous","Nfkbiz","DOWN","Nfkbiz"
0.00765156821470695,0.175741491966482,0.41,0.336,1,"heterozygous","Rnasek","UP","Rnasek"
0.00767971465494628,0.157830186498566,0.151,0.097,1,"heterozygous","Dgcr6","UP","Dgcr6"
0.00768491018919119,0.190907509626073,0.529,0.485,1,"heterozygous","Naca","UP","Naca"
0.00774423562686098,-0.1226365189486,0.304,0.405,1,"heterozygous","Rbm10","DOWN","Rbm10"
0.00781368380443436,-0.103552768447289,0.065,0.116,1,"heterozygous","Zscan2","DOWN","Zscan2"
0.00783357587130667,-0.142147130642572,0.162,0.235,1,"heterozygous","Dtwd2","DOWN","Dtwd2"
0.00784774306610296,0.152761074866812,0.784,0.758,1,"heterozygous","Tardbp","UP","Tardbp"
0.0078766933462643,0.150076586771148,0.182,0.124,1,"heterozygous","Urb1","UP","Urb1"
0.00787864285153593,-0.129512715527195,0.176,0.252,1,"heterozygous","Zc3h3","DOWN","Zc3h3"
0.00788133399731967,-0.16494948829054,0.779,0.83,1,"heterozygous","Insr","DOWN","Insr"
0.00791981797083437,-0.167633646407656,0.414,0.515,1,"heterozygous","Baz2a","DOWN","Baz2a"
0.00792809672895899,-0.185788369863309,0.302,0.395,1,"heterozygous","Eva1a","DOWN","Eva1a"
0.00795720571792454,-0.182908773703586,0.516,0.59,1,"heterozygous","Foxo1","DOWN","Foxo1"
0.00804790180905903,-0.154544527285068,0.077,0.128,1,"heterozygous","Tmem150a","DOWN","Tmem150a"
0.00805279117877946,-0.386420797499898,0.205,0.143,1,"heterozygous","Slc14a2","DOWN","Slc14a2"
0.00807010818364091,-0.109988328208502,0.218,0.303,1,"heterozygous","Dcaf12","DOWN","Dcaf12"
0.00809530653512512,0.199301574669711,0.845,0.811,1,"heterozygous","Atg10","UP","Atg10"
0.00810124033405604,0.192884694607398,0.338,0.273,1,"heterozygous","Abhd14b","UP","Abhd14b"
0.00810143541223123,-0.128121259204167,0.315,0.41,1,"heterozygous","Gopc","DOWN","Gopc"
0.00810225528409552,0.17112128146919,0.502,0.439,1,"heterozygous","Atpif1","UP","Atpif1"
0.00810366551641109,-0.140964766853121,0.66,0.748,1,"heterozygous","Cbfa2t2","DOWN","Cbfa2t2"
0.00815740053503395,0.21028237566983,0.405,0.342,1,"heterozygous","Tmem176a","UP","Tmem176a"
0.00815769537399441,-0.133254722251729,0.822,0.878,1,"heterozygous","Patj","DOWN","Patj"
0.00818411737592545,-0.115805601707221,0.142,0.212,1,"heterozygous","Zfp944","DOWN","Zfp944"
0.00818864406766628,-0.155598272595363,0.667,0.746,1,"heterozygous","Sppl3","DOWN","Sppl3"
0.00826384440734597,-0.149231735134649,0.329,0.416,1,"heterozygous","Kyat1","DOWN","Kyat1"
0.00831190439920448,-0.145725571951155,0.426,0.521,1,"heterozygous","Yeats2","DOWN","Yeats2"
0.00833099102242365,-0.105153746067686,0.115,0.181,1,"heterozygous","Afm","DOWN","Afm"
0.00837347648976272,-0.186146865567676,0.468,0.544,1,"heterozygous","Sec24a","DOWN","Sec24a"
0.00844012967953793,-0.176958894459016,0.52,0.603,1,"heterozygous","Abl1","DOWN","Abl1"
0.00847162487670101,0.179895476657461,0.421,0.359,1,"heterozygous","Atp5g2","UP","Atp5g2"
0.00849517767230814,0.225896982901501,0.376,0.309,1,"heterozygous","Dph6","UP","Dph6"
0.00853142067361798,0.141547514891842,0.142,0.088,1,"heterozygous","Nmi","UP","Nmi"
0.00854368970552962,0.224069086636878,0.459,0.395,1,"heterozygous","Rmnd1","UP","Rmnd1"
0.00857966125527174,-0.151016039325889,0.545,0.634,1,"heterozygous","Sec63","DOWN","Sec63"
0.0087007510709121,0.176580856094092,0.151,0.097,1,"heterozygous","9130230L23Rik","UP","9130230L23Rik"
0.00870408487524315,-0.124629667665155,0.212,0.288,1,"heterozygous","Uhrf1bp1","DOWN","Uhrf1bp1"
0.00870424978608205,0.178941277004078,0.464,0.399,1,"heterozygous","Rplp2","UP","Rplp2"
0.00870827337226393,0.126107651119323,0.164,0.107,1,"heterozygous","Pear1","UP","Pear1"
0.00872288559545216,-0.176041606432314,0.703,0.775,1,"heterozygous","Dmd","DOWN","Dmd"
0.00876439084321605,-0.104761622967001,0.18,0.263,1,"heterozygous","Zdhhc13","DOWN","Zdhhc13"
0.00876835521352847,-0.189165169816126,0.423,0.519,1,"heterozygous","Rps6ka1","DOWN","Rps6ka1"
0.00879124997718472,-0.159630558944309,0.266,0.349,1,"heterozygous","Inpp4a","DOWN","Inpp4a"
0.00884749645254369,-0.164479154084721,0.568,0.664,1,"heterozygous","Btrc","DOWN","Btrc"
0.00886068219779461,0.199830291140202,0.43,0.361,1,"heterozygous","Zc3h6","UP","Zc3h6"
0.0088686867994882,0.214299785572982,0.356,0.294,1,"heterozygous","Dcbld1","UP","Dcbld1"
0.00893119499627683,-0.134772179828261,0.27,0.353,1,"heterozygous","Phf2","DOWN","Phf2"
0.00897810698840735,-0.144596821886009,0.079,0.132,1,"heterozygous","Slc16a5","DOWN","Slc16a5"
0.00899941703527286,0.171536005466011,0.601,0.544,1,"heterozygous","Tut4","UP","Tut4"
0.00900133493839054,-0.123759842487684,0.255,0.34,1,"heterozygous","Lzts2","DOWN","Lzts2"
0.00907334830098879,-0.117296139786272,0.403,0.508,1,"heterozygous","Tom1","DOWN","Tom1"
0.00910195415671703,0.214077878050404,0.304,0.242,1,"heterozygous","Cryz","UP","Cryz"
0.00910257683428627,0.116041415685332,0.191,0.132,1,"heterozygous","Bcat1","UP","Bcat1"
0.00912847974754363,-0.210773546332118,0.486,0.565,1,"heterozygous","N4bp2","DOWN","N4bp2"
0.0091286915779064,-0.105096888383339,0.315,0.414,1,"heterozygous","Fxr2","DOWN","Fxr2"
0.00920239240735861,0.175067984088183,0.189,0.132,1,"heterozygous","Mrps17","UP","Mrps17"
0.00925464527732315,-0.125057906409493,0.32,0.414,1,"heterozygous","Nt5dc3","DOWN","Nt5dc3"
0.00931091940508538,-0.102507266001726,0.216,0.298,1,"heterozygous","Zbtb4","DOWN","Zbtb4"
0.0093140647859016,-0.126337664713389,0.428,0.532,1,"heterozygous","Pmepa1","DOWN","Pmepa1"
0.00932865338385395,-0.144056721140509,0.288,0.368,1,"heterozygous","Actr1a","DOWN","Actr1a"
0.00937644888898807,-0.163718071687943,0.696,0.784,1,"heterozygous","Itch","DOWN","Itch"
0.00940415588671711,0.163527689793253,0.207,0.147,1,"heterozygous","Zfp81","UP","Zfp81"
0.00945166698044636,-0.161840738716071,0.779,0.84,1,"heterozygous","Ehbp1","DOWN","Ehbp1"
0.00945951498466715,0.185030988086045,0.284,0.212,1,"heterozygous","Tmco1","UP","Tmco1"
0.00955865029836902,0.185981764849835,0.3,0.237,1,"heterozygous","Aldh7a1","UP","Aldh7a1"
0.00958931306685587,-0.140596320788561,0.365,0.456,1,"heterozygous","Mef2d","DOWN","Mef2d"
0.00959771950316429,-0.186109134266281,0.367,0.464,1,"heterozygous","Stat5b","DOWN","Stat5b"
0.00960167299214244,0.196688416700277,0.259,0.2,1,"heterozygous","Micos13","UP","Micos13"
0.00967461893741967,0.201694654987315,0.277,0.21,1,"heterozygous","Tuba4a","UP","Tuba4a"
0.00967689108190754,-0.196166541236402,0.606,0.674,1,"heterozygous","Nedd9","DOWN","Nedd9"
0.00975571636324341,0.20642110840334,0.707,0.662,1,"heterozygous","Hibadh","UP","Hibadh"
0.00977919820091248,0.215058262228458,0.41,0.349,1,"heterozygous","Gsr","UP","Gsr"
0.00979772410249338,-0.105810773920482,0.975,0.983,1,"heterozygous","Rere","DOWN","Rere"
0.00997056118315762,0.127040460828737,0.255,0.185,1,"heterozygous","Slc22a2","UP","Slc22a2"
