"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0.00327847014034671,0.154177516112256,0.149,0.086,1,"heterozygous","Gstm5","UP","Gstm5"
0.00327935743200888,-0.129082855967654,0.989,0.995,1,"heterozygous","Ddx5","DOWN","Ddx5"
0.00331059305110903,-0.174515430467452,0.177,0.259,1,"heterozygous","Frmd6","DOWN","Frmd6"
0.00331479448245121,0.209954162888957,0.433,0.345,1,"heterozygous","Efcab2","UP","Efcab2"
0.00331775479729136,-0.172943822831675,0.39,0.49,1,"heterozygous","Csnk1d","DOWN","Csnk1d"
0.00334126130774373,-0.174438260189266,0.258,0.342,1,"heterozygous","Metap1","DOWN","Metap1"
0.00335427179586354,0.225838913054362,0.723,0.67,1,"heterozygous","2210408F21Rik","UP","2210408F21Rik"
0.00336158599043171,0.182594560979443,0.134,0.076,1,"heterozygous","Dock10","UP","Dock10"
0.00337770035915152,-0.143425045460321,0.422,0.52,1,"heterozygous","Faf2","DOWN","Faf2"
0.00340269077157164,0.143525183588893,0.132,0.071,1,"heterozygous","Ccdc15","UP","Ccdc15"
0.00340586448759799,-0.139052308291517,0.335,0.441,1,"heterozygous","Ptpn11","DOWN","Ptpn11"
0.00341068609925883,-0.135177991121757,0.725,0.798,1,"heterozygous","Rab3ip","DOWN","Rab3ip"
0.00341221218080118,-0.157257507925867,0.219,0.308,1,"heterozygous","Slc15a2","DOWN","Slc15a2"
0.00346771700354143,0.104910233763227,0.171,0.101,1,"heterozygous","Mrpl34","UP","Mrpl34"
0.00346906668877441,-0.120731943128697,0.398,0.515,1,"heterozygous","Ctcf","DOWN","Ctcf"
0.00347071880932814,0.15277651008282,0.152,0.089,1,"heterozygous","Ly6c1","UP","Ly6c1"
0.00347351484469168,0.164893297592478,0.221,0.145,1,"heterozygous","Hsbp1","UP","Hsbp1"
0.00347769625560169,-0.206168298394252,0.688,0.751,1,"heterozygous","9930021J03Rik","DOWN","9930021J03Rik"
