"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"Gm47283",0,0.829743725171174,0.841,0.783,0,"heterozygous","Gm47283","excitatory.neurons"
"Arhgap15",0,0.569897232536865,0.704,0.562,0,"heterozygous","Arhgap15","excitatory.neurons"
"Mef2c",0,0.56105625583841,0.984,0.98,0,"heterozygous","Mef2c","excitatory.neurons"
"Zeb2",0,0.462415794631443,0.925,0.896,0,"heterozygous","Zeb2","excitatory.neurons"
"Hecw2",0,0.438777801546999,0.984,0.977,0,"heterozygous","Hecw2","excitatory.neurons"
"Gm29260",0,0.422632257353228,0.195,0.037,0,"heterozygous","Gm29260","excitatory.neurons"
"Pak7",0,0.411082901755683,0.962,0.957,0,"heterozygous","Pak7","excitatory.neurons"
"Asic2",0,0.312733532499138,0.99,0.989,0,"heterozygous","Asic2","excitatory.neurons"
"Arpp21",0,0.301826409349904,0.995,0.994,0,"heterozygous","Arpp21","excitatory.neurons"
"Fkbp5",0,-0.28137517144104,0.168,0.36,0,"heterozygous","Fkbp5","excitatory.neurons"
"Gm42418",0,-0.286330194331908,0.994,0.998,0,"heterozygous","Gm42418","excitatory.neurons"
"Hlf",0,-0.338154572874765,0.425,0.647,0,"heterozygous","Hlf","excitatory.neurons"
"Ptk2b",0,-0.352177057035268,0.648,0.801,0,"heterozygous","Ptk2b","excitatory.neurons"
"Lncpint",0,-0.398866497748843,0.964,0.986,0,"heterozygous","Lncpint","excitatory.neurons"
"Ccnd2",4.09807953232441e-289,-0.286339753177635,0.251,0.442,1.32302399621561e-284,"heterozygous","Ccnd2","excitatory.neurons"
"Nrep",1.22106557750809e-287,0.426246737182793,0.419,0.261,3.94208811042712e-283,"heterozygous","Nrep","excitatory.neurons"
"Wipf3",1.34603127943933e-273,-0.326586449225246,0.464,0.646,4.34552738254194e-269,"heterozygous","Wipf3","excitatory.neurons"
"Cpe",1.60697622291862e-270,-0.31283915551019,0.868,0.941,5.18796203807048e-266,"heterozygous","Cpe","excitatory.neurons"
"C130071C03Rik",2.73999063642327e-269,0.306430950127501,0.939,0.923,8.84578577062889e-265,"heterozygous","C130071C03Rik","excitatory.neurons"
"R3hdm1",2.29250145189085e-267,0.315452967071812,0.996,0.995,7.40111168728443e-263,"heterozygous","R3hdm1","excitatory.neurons"
"Nmnat2",2.35485993330431e-261,-0.288477432691032,0.764,0.88,7.60242980867964e-257,"heterozygous","Nmnat2","excitatory.neurons"
"Dapk1",2.99884371243422e-244,-0.298546533383036,0.731,0.851,9.68146704122263e-240,"heterozygous","Dapk1","excitatory.neurons"
"Dbp",5.3029574246105e-231,-0.162249298526688,0.141,0.295,1.71200677496125e-226,"heterozygous","Dbp","excitatory.neurons"
"Per1",1.7448087811271e-229,-0.209392383348322,0.288,0.473,5.63294066899072e-225,"heterozygous","Per1","excitatory.neurons"
