"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
1.29708167975472e-53,0.326789447433238,0.177,0.078,4.18749849492013e-49,"heterozygous","Hao2","UP","Hao2"
1.68611608221828e-53,0.375900057138116,0.507,0.363,5.4434571598335e-49,"heterozygous","Rpl11","UP","Rpl11"
2.9741433604383e-53,0.47258339473918,0.2,0.094,9.60172442483899e-49,"heterozygous","Kcnt2","UP","Kcnt2"
3.08358970294371e-53,0.38648201773859,0.892,0.838,9.95506099698346e-49,"heterozygous","Etl4","UP","Etl4"
4.12398892622843e-53,0.444965238926772,0.243,0.13,1.33138858494359e-48,"heterozygous","Tbxas1","UP","Tbxas1"
5.05656215671726e-53,0.355078393136614,0.605,0.471,1.6324605266746e-48,"heterozygous","Rps24","UP","Rps24"
6.99726664921128e-53,0.376370318938471,0.528,0.388,2.25899756503137e-48,"heterozygous","Rpl26","UP","Rpl26"
1.27521219363253e-52,0.376315764041167,0.393,0.259,4.11689504592325e-48,"heterozygous","Cox5b","UP","Cox5b"
1.51068273995712e-52,-0.377982984556445,0.106,0.213,4.87708815767757e-48,"heterozygous","Sorbs3","DOWN","Sorbs3"
1.67918310276694e-52,0.36820577453543,0.587,0.452,5.4210747289728e-48,"heterozygous","Fau","UP","Fau"
1.96968173540551e-52,0.358455943171162,0.562,0.421,6.35892051458314e-48,"heterozygous","Ldhb","UP","Ldhb"
5.1084565255231e-52,0.305511963309506,0.849,0.775,1.64921410469988e-47,"heterozygous","Gpx1","UP","Gpx1"
1.77558737468517e-51,-0.410357819920857,0.697,0.77,5.7323062804336e-47,"heterozygous","Fyn","DOWN","Fyn"
1.98065722603159e-51,-0.489237415416128,0.199,0.319,6.39435378852038e-47,"heterozygous","Cables1","DOWN","Cables1"
2.07285509057258e-51,-0.487750963614269,0.292,0.416,6.6920053744045e-47,"heterozygous","Xdh","DOWN","Xdh"
5.23778263772238e-51,-0.395727465592413,0.16,0.277,1.69096574676229e-46,"heterozygous","Nfkbia","DOWN","Nfkbia"
6.79586048579789e-51,0.426995353005358,0.752,0.658,2.19397559923499e-46,"heterozygous","Ltbp1","UP","Ltbp1"
8.46616371821241e-51,0.383044395625739,0.525,0.395,2.7332162947877e-46,"heterozygous","Hsp90b1","UP","Hsp90b1"
1.27672634829315e-50,0.343305201174848,0.531,0.394,4.12178334282962e-46,"heterozygous","Rps3a1","UP","Rps3a1"
1.58646598217982e-50,0.311201895053721,0.79,0.702,5.12174677686932e-46,"heterozygous","Itm2b","UP","Itm2b"
1.81022268717824e-50,-0.372886619101618,0.106,0.21,5.84412292328624e-46,"heterozygous","Gm49980","DOWN","Gm49980"
2.11073981668549e-50,0.27857858631709,0.919,0.882,6.81431242418744e-46,"heterozygous","mt-Atp6","UP","mt-Atp6"
2.14853114190889e-50,0.419826403560295,0.721,0.627,6.93631793853865e-46,"heterozygous","Kdr","UP","Kdr"
2.58884448177557e-50,0.35585275698899,0.507,0.367,8.35782552496424e-46,"heterozygous","Nme2","UP","Nme2"
4.49387150816895e-50,0.320711631481325,0.738,0.626,1.45080147769726e-45,"heterozygous","Oxct1","UP","Oxct1"
4.88251669995094e-50,0.349492103087308,0.639,0.515,1.57627169141216e-45,"heterozygous","Mdh1","UP","Mdh1"
6.2144079456846e-50,-0.396646956629845,0.161,0.279,2.00625946118482e-45,"heterozygous","Dusp1","DOWN","Dusp1"
1.49407899511975e-49,0.353875427509773,0.497,0.36,4.82348462784461e-45,"heterozygous","Rpl8","UP","Rpl8"
1.59886443840938e-49,-0.402900239120218,0.188,0.309,5.16177395296085e-45,"heterozygous","Synpo","DOWN","Synpo"
1.7669103524425e-49,0.371305016310991,0.736,0.658,5.70429338182537e-45,"heterozygous","Keg1","UP","Keg1"
1.90963709977981e-49,-0.402293452723482,0.381,0.505,6.16507241292914e-45,"heterozygous","Rasip1","DOWN","Rasip1"
2.33164716943503e-49,-0.420159276461222,0.278,0.404,7.52748972180406e-45,"heterozygous","Cttnbp2nl","DOWN","Cttnbp2nl"
2.83222072892515e-49,0.321010532094732,0.739,0.636,9.14354140126196e-45,"heterozygous","mt-Cytb","UP","mt-Cytb"
3.88342060802593e-49,0.362494853004639,0.453,0.32,1.25372350909509e-44,"heterozygous","Calr","UP","Calr"
8.00112031097151e-49,-0.482553006630708,0.372,0.489,2.58308168119404e-44,"heterozygous","Vcl","DOWN","Vcl"
1.40709760731702e-48,0.356011753082741,0.419,0.287,4.54267391546225e-44,"heterozygous","Gapdh","UP","Gapdh"
1.48757363703003e-48,0.368438144656889,0.429,0.295,4.80248272978775e-44,"heterozygous","Car2","UP","Car2"
1.92848243674991e-48,0.339938077058266,0.63,0.511,6.2259126988034e-44,"heterozygous","Rida","UP","Rida"
4.42356768399252e-48,-0.425736088064612,0.435,0.547,1.42810459110015e-43,"heterozygous","A330023F24Rik","DOWN","A330023F24Rik"
4.52625704000558e-48,-0.386601635715304,0.466,0.582,1.4612568227954e-43,"heterozygous","Ppp1r13b","DOWN","Ppp1r13b"
4.96464722683991e-48,0.331999923265196,0.564,0.429,1.602786710713e-43,"heterozygous","Rps19","UP","Rps19"
5.81080601502009e-48,-0.344229586795388,0.765,0.826,1.87596061388909e-43,"heterozygous","Sash1","DOWN","Sash1"
7.66803624157793e-48,0.350351095709594,0.473,0.344,2.47554882023102e-43,"heterozygous","Rpl6","UP","Rpl6"
9.04045867757268e-48,0.186190765410939,0.733,0.614,2.91862167946756e-43,"heterozygous","Igfbp7","UP","Igfbp7"
9.42478823713853e-48,-0.411520431775789,0.513,0.619,3.0426986344778e-43,"heterozygous","Lrrfip1","DOWN","Lrrfip1"
9.78840953287286e-48,0.336059709852009,0.502,0.367,3.16009013359267e-43,"heterozygous","Atp5j","UP","Atp5j"
1.00887886978766e-47,0.445462012257318,0.315,0.193,3.25706454322249e-43,"heterozygous","Cryab","UP","Cryab"
1.05798076816924e-47,-0.365255890573976,0.667,0.739,3.41558511195758e-43,"heterozygous","Nf1","DOWN","Nf1"
1.30573282712938e-47,0.366529696164203,0.29,0.174,4.21542785910448e-43,"heterozygous","Wfdc15b","UP","Wfdc15b"
1.54020126819057e-47,0.34234116103226,0.453,0.319,4.97238577422643e-43,"heterozygous","Serf2","UP","Serf2"
1.70481570257201e-47,-0.411381106842948,0.585,0.676,5.50382701418346e-43,"heterozygous","Hpcal1","DOWN","Hpcal1"
2.02991657614651e-47,-0.414543651379249,0.234,0.353,6.55338267443138e-43,"heterozygous","Sema3f","DOWN","Sema3f"
2.64600211418542e-47,0.353674448651729,0.537,0.407,8.54235322543622e-43,"heterozygous","Rpl19","UP","Rpl19"
5.44271719671517e-47,0.366098947497498,0.455,0.326,1.75712681978753e-42,"heterozygous","Rpl36","UP","Rpl36"
8.50719294652289e-47,-0.376048101588932,0.19,0.307,2.74646217085545e-42,"heterozygous","Tns2","DOWN","Tns2"
1.32578529014867e-46,0.349183656756464,0.366,0.239,4.28016523071598e-42,"heterozygous","Rpl39","UP","Rpl39"
1.6118060650675e-46,-0.345391563242876,0.771,0.818,5.20355470046393e-42,"heterozygous","Lrch1","DOWN","Lrch1"
2.30062785599574e-46,-0.496402438824508,0.492,0.588,7.42734697029664e-42,"heterozygous","Klhl2","DOWN","Klhl2"
2.33470284888429e-46,0.310923494733474,0.73,0.617,7.53735467733805e-42,"heterozygous","Rdx","UP","Rdx"
2.59457616577503e-46,0.293748102000764,0.167,0.076,8.37632969358812e-42,"heterozygous","Ptger3","UP","Ptger3"
3.02078206922087e-46,0.33548470773874,0.591,0.463,9.75229283227266e-42,"heterozygous","Sod1","UP","Sod1"
3.15718508529571e-46,-0.391914404225866,0.201,0.316,1.01926563293687e-41,"heterozygous","Cerk","DOWN","Cerk"
3.43863965543926e-46,0.329905834436586,0.602,0.481,1.11013042636201e-41,"heterozygous","Ppia","UP","Ppia"
4.59806213229789e-46,0.405909602543439,0.342,0.218,1.48443837879105e-41,"heterozygous","Fbln5","UP","Fbln5"
7.8561267999539e-46,0.348813554829271,0.496,0.367,2.53627197609712e-41,"heterozygous","Rpl32","UP","Rpl32"
8.68687038022548e-46,-0.3655510577414,0.056,0.137,2.80446923355199e-41,"heterozygous","Lpin3","DOWN","Lpin3"
3.29264085901899e-45,0.337866393257249,0.488,0.355,1.06299617492569e-40,"heterozygous","Rps28","UP","Rps28"
3.45601164780087e-45,-0.257851557916202,0.033,0.102,1.11573880037603e-40,"heterozygous","Per2","DOWN","Per2"
3.71879623956091e-45,0.337532311005764,0.513,0.383,1.20057617797985e-40,"heterozygous","Fbp1","UP","Fbp1"
3.89819934935378e-45,0.428773036146618,0.288,0.173,1.25849467794537e-40,"heterozygous","Fign","UP","Fign"
5.24548872324414e-45,-0.333059308497208,0.078,0.167,1.69345357941214e-40,"heterozygous","Qsox1","DOWN","Qsox1"
6.91552378528065e-45,0.336024852901928,0.386,0.259,2.23260769884e-40,"heterozygous","Rps11","UP","Rps11"
1.07469677377428e-44,0.284989126707229,0.86,0.792,3.46955106445289e-40,"heterozygous","Exoc3l2","UP","Exoc3l2"
1.11306324818183e-44,-0.30284939510315,0.741,0.805,3.59341339043022e-40,"heterozygous","Sik3","DOWN","Sik3"
1.45171270228387e-44,-0.372249798258156,0.1,0.194,4.68670928805323e-40,"heterozygous","Ccn2","DOWN","Ccn2"
1.98992133504759e-44,0.345463987547805,0.416,0.291,6.42426203806764e-40,"heterozygous","Atp5mpl","UP","Atp5mpl"
3.67164352108108e-44,0.360253629764547,0.478,0.35,1.18535339434582e-39,"heterozygous","Rpl24","UP","Rpl24"
3.93212194887192e-44,0.323315455768503,0.453,0.324,1.26944624997381e-39,"heterozygous","Rplp0","UP","Rplp0"
4.36851654878715e-44,-0.359485569308865,0.467,0.578,1.41033188261044e-39,"heterozygous","Fnip2","DOWN","Fnip2"
4.60905724720119e-44,0.340728647073534,0.495,0.372,1.48798804168643e-39,"heterozygous","Rps9","UP","Rps9"
5.12417759612499e-44,0.412539012965146,0.383,0.261,1.65428949513299e-39,"heterozygous","Rassf9","UP","Rassf9"
7.15225577564134e-44,0.337976758938093,0.425,0.297,2.30903425460805e-39,"heterozygous","Atp5md","UP","Atp5md"
1.33010980143667e-43,0.353198160275408,0.878,0.83,4.29412648295814e-39,"heterozygous","Chrm3","UP","Chrm3"
1.8968300091806e-43,0.341874790675826,0.533,0.408,6.12372600163864e-39,"heterozygous","Rps27a","UP","Rps27a"
2.68133917834363e-43,0.326497497303406,0.642,0.53,8.65643540336459e-39,"heterozygous","Tmsb4x","UP","Tmsb4x"
2.88622021912582e-43,-0.393577011746363,0.11,0.206,9.31787335542579e-39,"heterozygous","Nod2","DOWN","Nod2"
3.71967199387997e-43,0.33315101832749,0.665,0.565,1.20085890650421e-38,"heterozygous","Acadm","UP","Acadm"
6.64489030464564e-43,-0.391157933452564,0.102,0.196,2.1452363859518e-38,"heterozygous","Sema7a","DOWN","Sema7a"
1.12146774316342e-42,0.337366487361336,0.449,0.325,3.62054646202879e-38,"heterozygous","Rps17","UP","Rps17"
1.18971125798968e-42,-0.510502652080391,0.203,0.309,3.84086382529388e-38,"heterozygous","Ccnd3","DOWN","Ccnd3"
1.23338561321202e-42,-0.551769739368086,0.439,0.539,3.9818621136937e-38,"heterozygous","Sncaip","DOWN","Sncaip"
3.92251163937635e-42,0.341098551352349,0.424,0.299,1.26634365765626e-37,"heterozygous","Rplp2","UP","Rplp2"
4.30434265456728e-42,0.298567203244095,0.704,0.603,1.3896139826005e-37,"heterozygous","Slc25a3","UP","Slc25a3"
6.37881304070009e-42,0.326491651452542,0.43,0.302,2.05933600205962e-37,"heterozygous","Uqcrb","UP","Uqcrb"
7.51784610377128e-42,0.320772819980472,0.449,0.324,2.42706143614152e-37,"heterozygous","Ndufa2","UP","Ndufa2"
7.6536260813919e-42,-0.292110011665944,0.069,0.151,2.47089664411656e-37,"heterozygous","Per3","DOWN","Per3"
8.58264891825486e-42,0.351810629117712,0.609,0.497,2.7708223767694e-37,"heterozygous","Ptpru","UP","Ptpru"
1.94452302454206e-41,0.314657141276824,0.365,0.244,6.27769813243158e-37,"heterozygous","H2afj","UP","H2afj"
3.30954082727945e-41,0.335006083704324,0.418,0.301,1.0684521606789e-36,"heterozygous","Hspa5","UP","Hspa5"
3.87305778023022e-41,0.317448437871026,0.366,0.247,1.25037797376952e-36,"heterozygous","Rps27","UP","Rps27"
4.74678005877955e-41,-0.337549327952016,0.379,0.503,1.53245047417639e-36,"heterozygous","Slc22a30","DOWN","Slc22a30"
6.59245744775997e-41,-0.359936383950503,0.156,0.259,2.12830896243483e-36,"heterozygous","Slco1a1","DOWN","Slco1a1"
1.75015813564582e-40,0.331365500983655,0.402,0.284,5.65021052511897e-36,"heterozygous","Idh1","UP","Idh1"
1.81849483965424e-40,-0.393543012547699,0.203,0.311,5.87082874033976e-36,"heterozygous","Irak2","DOWN","Irak2"
3.10123992299974e-40,0.278011371254622,0.18,0.092,1.00120429674124e-35,"heterozygous","Acmsd","UP","Acmsd"
6.17059191844114e-40,0.288602219380421,0.605,0.497,1.99211389494954e-35,"heterozygous","Lpl","UP","Lpl"
1.23830274407887e-39,0.308949435498614,0.684,0.588,3.99773657898423e-35,"heterozygous","Atp5g3","UP","Atp5g3"
1.28107133059245e-39,0.302219145838198,0.606,0.494,4.13581068368466e-35,"heterozygous","Ttc36","UP","Ttc36"
1.48850266135657e-39,0.304807442279702,0.481,0.361,4.80548199192356e-35,"heterozygous","Rps16","UP","Rps16"
1.79161219175046e-39,-0.37140403759714,0.493,0.588,5.78404079984719e-35,"heterozygous","Ankrd12","DOWN","Ankrd12"
3.43298146815411e-39,0.309615788210198,0.49,0.37,1.10830373717887e-34,"heterozygous","Vcp","UP","Vcp"
3.81706898371732e-39,-0.420996496002557,0.813,0.842,1.2323025507033e-34,"heterozygous","Tshz2","DOWN","Tshz2"
4.65886882696189e-39,-0.353506966038201,0.464,0.564,1.50406921209638e-34,"heterozygous","Cyth1","DOWN","Cyth1"
7.60426212976707e-39,0.322677457081005,0.422,0.304,2.454959985974e-34,"heterozygous","Ndufb8","UP","Ndufb8"
1.56782598714077e-38,-0.394931233009891,0.039,0.105,5.06156941688527e-34,"heterozygous","Lancl3","DOWN","Lancl3"
1.80816215274349e-38,0.328181626409244,0.522,0.409,5.83747069391707e-34,"heterozygous","Rps15","UP","Rps15"
3.48285366259628e-38,0.321232110511996,0.403,0.287,1.12440447643258e-33,"heterozygous","Rpl21","UP","Rpl21"
4.0546503659254e-38,0.303331223604316,0.463,0.345,1.30900332413536e-33,"heterozygous","Rpl18a","UP","Rpl18a"
