"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
1.63199986512269e-07,0.130773147953171,0.368,0.3,0.0052687483645621,"heterozygous","Cyba","UP","Cyba"
1.63266584218703e-07,-0.17577664441344,0.534,0.596,0.00527089840491661,"heterozygous","Cab39","DOWN","Cab39"
1.63396955524115e-07,0.121432812937928,0.112,0.069,0.00527510731214052,"heterozygous","Rasl11b","UP","Rasl11b"
1.65089293107483e-07,-0.236427278300136,0.532,0.581,0.00532974273868199,"heterozygous","Tmem65","DOWN","Tmem65"
1.71254579408508e-07,0.163759855281635,0.291,0.23,0.00552878284162427,"heterozygous","Ccnh","UP","Ccnh"
1.74159865224201e-07,-0.184908557560531,0.404,0.467,0.00562257708889812,"heterozygous","Kras","DOWN","Kras"
1.76003881141769e-07,0.152715944498307,0.339,0.272,0.00568210929878087,"heterozygous","Zdhhc6","UP","Zdhhc6"
1.76107547652684e-07,-0.18341081938137,0.954,0.948,0.00568545606841926,"heterozygous","Plcl1","DOWN","Plcl1"
1.79736881820557e-07,0.112954392424395,0.156,0.107,0.00580262549269486,"heterozygous","Tigd2","UP","Tigd2"
1.84342325390566e-07,0.163161168988608,0.33,0.267,0.00595130763290902,"heterozygous","Armc9","UP","Armc9"
1.84542211313925e-07,0.140971829534979,0.401,0.328,0.00595776075005876,"heterozygous","Clcn5","UP","Clcn5"
1.87900502797864e-07,-0.1611670118507,0.307,0.374,0.00606617983232623,"heterozygous","Stau1","DOWN","Stau1"
1.92510088146424e-07,-0.159953286533458,0.592,0.649,0.00621499568571914,"heterozygous","Susd6","DOWN","Susd6"
1.93292536637763e-07,0.222930838955798,0.364,0.303,0.00624025625281354,"heterozygous","Syt17","UP","Syt17"
1.95276693512404e-07,0.101167575360355,0.1,0.06,0.00630431277335444,"heterozygous","Sdr39u1","UP","Sdr39u1"
1.9776252824966e-07,-0.244185296108919,0.547,0.602,0.00638456546201203,"heterozygous","Atp8b1","DOWN","Atp8b1"
1.99039532321752e-07,0.139745546124169,0.112,0.07,0.00642579226147543,"heterozygous","Ndufaf8","UP","Ndufaf8"
2.05084046874604e-07,-0.128383218774077,0.826,0.85,0.00662093336929973,"heterozygous","Huwe1","DOWN","Huwe1"
2.07408213026367e-07,-0.176927181811072,0.37,0.432,0.00669596674934324,"heterozygous","Ubr4","DOWN","Ubr4"
2.11578751800883e-07,0.116203594874531,0.165,0.114,0.0068306084231397,"heterozygous","Mrpl18","UP","Mrpl18"
2.18351180463124e-07,0.11657110356245,0.132,0.087,0.00704924951007148,"heterozygous","Dctn3","UP","Dctn3"
2.18696631781654e-07,-0.124261573239657,0.764,0.804,0.00706040206043891,"heterozygous","Wac","DOWN","Wac"
2.19405739985602e-07,-0.167719913438816,0.854,0.879,0.00708329490969517,"heterozygous","Utrn","DOWN","Utrn"
2.20152056308786e-07,0.159175664299084,0.722,0.66,0.00710738898587285,"heterozygous","Slco3a1","UP","Slco3a1"
