"","p_val","gene","diffexpressed","celltype"
"98",5.31229184172039e-09,"Acot7","DOWN","inhibitory"
"99",5.57666915305633e-09,"Appbp2","DOWN","inhibitory"
"100",5.82826648317604e-09,"Dlg2","UP","inhibitory"
"101",6.16736129595623e-09,"Mbtd1","DOWN","inhibitory"
"102",6.25555524048057e-09,"Clip4","DOWN","inhibitory"
"103",7.5581494893686e-09,"Purg","DOWN","inhibitory"
"104",8.48269478310557e-09,"Cntnap2","DOWN","inhibitory"
"105",1.00099601344991e-08,"Wipf3","DOWN","inhibitory"
"106",1.0354232278496e-08,"Cerk","DOWN","inhibitory"
"107",1.10425765460692e-08,"E530011L22Rik","UP","inhibitory"
"108",1.45476122025968e-08,"Slc38a2","DOWN","inhibitory"
"109",1.53217042741809e-08,"Chka","DOWN","inhibitory"
"110",1.62219231943921e-08,"Hdgf","DOWN","inhibitory"
"111",1.62989952313848e-08,"Gm15398","UP","inhibitory"
"112",1.69042884049125e-08,"Kansl1","DOWN","inhibitory"
"113",1.83176589403584e-08,"Pum1","DOWN","inhibitory"
"114",1.85264406472369e-08,"Ankib1","DOWN","inhibitory"
"115",1.95712315187804e-08,"Camkv","DOWN","inhibitory"
"116",1.98973106013788e-08,"4930447N08Rik","UP","inhibitory"
"117",2.34027888564521e-08,"Pip4k2a","DOWN","inhibitory"
"118",2.38435996987676e-08,"Cdh12","UP","inhibitory"
"119",2.53230982539038e-08,"Gm20275","UP","inhibitory"
"120",2.54910743600051e-08,"Efnb2","DOWN","inhibitory"
"121",2.61306893569445e-08,"Zfp365","DOWN","inhibitory"
"122",2.77494590027504e-08,"Gfod1","DOWN","inhibitory"
"123",2.80585460015285e-08,"Ube2d1","DOWN","inhibitory"
"124",3.00901814583568e-08,"P4ha1","DOWN","inhibitory"
"125",3.16451688895737e-08,"Gigyf2","DOWN","inhibitory"
"126",3.36632634350482e-08,"Zhx3","DOWN","inhibitory"
"127",3.59974434864553e-08,"B3galt1","DOWN","inhibitory"
"128",3.79396437085165e-08,"Desi2","DOWN","inhibitory"
"129",3.90122408503988e-08,"Set","DOWN","inhibitory"
"130",4.18729348883145e-08,"Lars2","DOWN","inhibitory"
"131",4.52268571503996e-08,"Sik3","DOWN","inhibitory"
"132",4.79758219746225e-08,"Psmd11","DOWN","inhibitory"
"133",4.81116080767423e-08,"Gm15155","DOWN","inhibitory"
"134",4.95841024672737e-08,"Rabep1","DOWN","inhibitory"
"135",5.2099869752499e-08,"Syp","DOWN","inhibitory"
"136",5.32554536000577e-08,"Lysmd4","UP","inhibitory"
"137",5.71334675039049e-08,"Dennd6a","DOWN","inhibitory"
"138",6.12484195549026e-08,"Kif5a","DOWN","inhibitory"
"139",6.69668210579649e-08,"Bcr","DOWN","inhibitory"
"140",6.73899327075658e-08,"Acap2","DOWN","inhibitory"
"141",7.93172071472333e-08,"Tob2","DOWN","inhibitory"
"142",8.03879800275002e-08,"Ube3a","UP","inhibitory"
"143",8.3247731928746e-08,"Neto2","DOWN","inhibitory"
"144",8.65103925426413e-08,"Ranbp9","DOWN","inhibitory"
"145",9.29315338302023e-08,"Cpm","DOWN","inhibitory"
"146",9.66327126176194e-08,"Lcor","DOWN","inhibitory"
"147",1.29453554331184e-07,"Ssh2","DOWN","inhibitory"
