"","p_val_adj","gene","diffexpressed","celltype"
"1",1.66243541398169e-07,"Ubb","UP","bcell"
"2",6.42346294404706e-06,"Ccnd3","DOWN","bcell"
"3",1.24577164992706e-05,"Slc12a1","UP","bcell"
"4",1.33952867215619e-05,"Hsph1","DOWN","bcell"
"5",1.93415676960701e-05,"Npas2","UP","bcell"
"6",0.000115847639889328,"Mtss1","DOWN","bcell"
"7",0.000193085570304945,"Errfi1","DOWN","bcell"
"8",0.000296152533025044,"P4ha1","DOWN","bcell"
"9",0.000595736535582472,"Fkbp5","DOWN","bcell"
"10",0.00148525025330589,"Mrpl53","UP","bcell"
"11",0.00202403606136841,"Per1","DOWN","bcell"
"12",0.00205306093280703,"Noct","DOWN","bcell"
"13",0.00212559352819308,"Fam107b","DOWN","bcell"
"14",0.00262834192115734,"Gm43305","DOWN","bcell"
"15",0.00627747242451111,"Itch","DOWN","bcell"
"16",0.00629399489016457,"mt-Co1","UP","bcell"
"17",0.00809105109858645,"Umod","UP","bcell"
"18",0.0102769857539822,"Lncpint","DOWN","bcell"
"19",0.0158441293467152,"Per2","DOWN","bcell"
"20",0.0176027811662056,"E230001N04Rik","DOWN","bcell"
"21",0.0186073601988029,"Alas1","DOWN","bcell"
"22",0.0217617828834266,"Slc12a6","DOWN","bcell"
"23",0.0310647276948733,"Osbpl9","DOWN","bcell"
"24",0.0325145899724316,"Fbxo11","DOWN","bcell"
"25",0.0325649493609099,"Tns2","DOWN","bcell"
"26",0.0430341002028961,"Cfh","UP","bcell"
"27",0.0506572287851926,"Rplp2","NO","bcell"
"28",0.0513922388200431,"Robo2","NO","bcell"
"29",0.0554361252405734,"Hao2","NO","bcell"
"30",0.0703180399058494,"Rnf169","NO","bcell"
"31",0.0923973396835125,"Tef","NO","bcell"
"32",0.100458812977817,"Il34","NO","bcell"
"33",0.156649642145466,"Ldlrad4","NO","bcell"
"34",0.174642026643352,"Kcnk5","NO","bcell"
"35",0.21331786468827,"Plk3","NO","bcell"
"36",0.213322616508578,"Mlxip","NO","bcell"
"37",0.213976477784498,"Chordc1","NO","bcell"
"38",0.226047601916381,"Gstm1","NO","bcell"
"39",0.263109724258395,"Ttc36","NO","bcell"
"40",0.318468824648348,"D630029K05Rik","NO","bcell"
"41",0.342301322743545,"Gpc6","NO","bcell"
"42",0.371120792671768,"Pde3a","NO","bcell"
"43",0.386707143490208,"Banp","NO","bcell"
"44",0.445611696646752,"Cyp2j13","NO","bcell"
"45",0.479647967020147,"Atg3","NO","bcell"
"46",0.485107333640977,"Nr1h4","NO","bcell"
"47",0.489521330097946,"Camta2","NO","bcell"
"48",0.522702802648011,"Plekha2","NO","bcell"
"49",0.53734056681054,"Gm49980","NO","bcell"
"50",0.546192719176541,"Blvra","NO","bcell"
"51",0.579015603182747,"Tsc22d3","NO","bcell"
"52",0.616910568172798,"Lrrc8a","NO","bcell"
"53",0.692329228133302,"Kif20b","NO","bcell"
"54",0.72820061937452,"Creld1","NO","bcell"
"55",0.887683404357457,"Col8a1","NO","bcell"
"56",1,"Igfbp4","NO","bcell"
"57",1,"Ppp2r5e","NO","bcell"
"58",1,"Abcf1","NO","bcell"
"59",1,"Lrmda","NO","bcell"
"60",1,"1700112D23Rik","NO","bcell"
"61",1,"Slco1a1","NO","bcell"
"62",1,"Vgll4","NO","bcell"
"63",1,"Pten","NO","bcell"
"64",1,"Agbl5","NO","bcell"
"65",1,"Herpud1","NO","bcell"
"66",1,"Pcyt1a","NO","bcell"
"67",1,"Mertk","NO","bcell"
"68",1,"Etv1","NO","bcell"
"69",1,"Per3","NO","bcell"
"70",1,"Map2k5","NO","bcell"
"71",1,"Dennd5a","NO","bcell"
"72",1,"Tmem86b","NO","bcell"
"73",1,"Zfp697","NO","bcell"
"74",1,"Glul","NO","bcell"
"75",1,"Ppp1r16b","NO","bcell"
"76",1,"Ces1d","NO","bcell"
"77",1,"Ildr2","NO","bcell"
"78",1,"Xylt1","NO","bcell"
"79",1,"Nab2","NO","bcell"
"80",1,"Wdr26","NO","bcell"
"81",1,"Kdm2a","NO","bcell"
"82",1,"1700037H04Rik","NO","bcell"
"83",1,"Eif2ak3","NO","bcell"
"84",1,"Cyp4b1","NO","bcell"
"85",1,"Zfand3","NO","bcell"
"86",1,"Pmaip1","NO","bcell"
"87",1,"Crlf3","NO","bcell"
"88",1,"Dusp1","NO","bcell"
"89",1,"Rap1a","NO","bcell"
"90",1,"Inpp5d","NO","bcell"
"91",1,"Galnt3","NO","bcell"
"92",1,"Unc93b1","NO","bcell"
"93",1,"Rapgef3","NO","bcell"
"94",1,"Foxo3","NO","bcell"
"95",1,"Plagl2","NO","bcell"
"96",1,"Ralb","NO","bcell"
"97",1,"Ubtd1","NO","bcell"
"98",1,"Sesn1","NO","bcell"
"99",1,"Mctp2","NO","bcell"
"100",1,"Klf15","NO","bcell"
"101",1,"Stxbp3","NO","bcell"
"102",1,"Itpkb","NO","bcell"
"103",1,"Eif4a3","NO","bcell"
"104",1,"Pspc1","NO","bcell"
"105",1,"Ube3b","NO","bcell"
"106",1,"Iqsec1","NO","bcell"
"107",1,"Snrk","NO","bcell"
"108",1,"Tent4b","NO","bcell"
"109",1,"Gm22146","NO","bcell"
"110",1,"C030005K06Rik","NO","bcell"
"111",1,"Galnt14","NO","bcell"
"112",1,"Ergic2","NO","bcell"
"113",1,"Ube2k","NO","bcell"
"114",1,"Zfp790","NO","bcell"
"115",1,"Pcyox1l","NO","bcell"
"116",1,"Golgb1","NO","bcell"
"117",1,"Enpp2","NO","bcell"
"118",1,"AU020206","NO","bcell"
"119",1,"Spag9","NO","bcell"
"120",1,"Scaf4","NO","bcell"
"121",1,"Sik3","NO","bcell"
"122",1,"Glis1","NO","bcell"
"123",1,"Rlf","NO","bcell"
"124",1,"Capza1","NO","bcell"
"125",1,"Ctse","NO","bcell"
"126",1,"Irf2","NO","bcell"
"127",1,"Il20rb","NO","bcell"
"128",1,"Klhl2","NO","bcell"
"129",1,"Prkcg","NO","bcell"
