"","p_val","gene","diffexpressed","celltype"
"1",2.98620663453423e-11,"Ccnd3","DOWN","blymph"
"2",1.57174745557326e-07,"Npas2","UP","blymph"
"3",3.05709527162598e-07,"Ubb","UP","blymph"
"4",7.31606320968618e-07,"Chchd2","UP","blymph"
"5",8.57605953965819e-07,"Rpl12","UP","blymph"
"6",1.35692849889865e-06,"Cltrn","UP","blymph"
"7",2.19955147022537e-06,"Fxyd2","UP","blymph"
"8",2.47421321524854e-06,"Hsph1","DOWN","blymph"
"9",2.53917641672379e-06,"Fam107b","DOWN","blymph"
"10",5.24124391928627e-06,"Gstm1","UP","blymph"
"11",5.49880394531543e-06,"Atp5b","UP","blymph"
"12",5.51583328024787e-06,"Kap","UP","blymph"
"13",5.72257457219432e-06,"Prdx5","UP","blymph"
"14",6.54523588409004e-06,"Bcat1","UP","blymph"
"15",1.15632109980016e-05,"Mtss1","DOWN","blymph"
"16",1.20096222464285e-05,"Uqcrfs1","UP","blymph"
"17",1.2085484336836e-05,"Errfi1","DOWN","blymph"
"18",1.47548213906519e-05,"mt-Co1","UP","blymph"
"19",1.49538716265849e-05,"Umod","UP","blymph"
"20",1.70504637698557e-05,"Spink1","UP","blymph"
"21",1.83151347146079e-05,"Hao2","UP","blymph"
"22",2.18363940753672e-05,"Cox7a2","UP","blymph"
"23",2.24808250562568e-05,"Hoxb9","UP","blymph"
"24",2.8677885548491e-05,"Slc12a6","DOWN","blymph"
"25",3.75183578344858e-05,"Ldhb","UP","blymph"
"26",4.12427199874667e-05,"Unc93b1","DOWN","blymph"
"27",4.35707911082266e-05,"Aldob","UP","blymph"
"28",4.86172437475724e-05,"Fbxo11","DOWN","blymph"
"29",5.74081996228587e-05,"Rps12","UP","blymph"
"30",6.58998372047545e-05,"Cd63","UP","blymph"
"31",6.94171804759951e-05,"Plvap","UP","blymph"
"32",8.25478229092858e-05,"Ndufv3","UP","blymph"
"33",0.000110262440811034,"Pck1","UP","blymph"
"34",0.000125724255538874,"Crlf3","DOWN","blymph"
"35",0.00013399898924756,"Cox4i1","UP","blymph"
"36",0.000144152812497153,"Osbpl9","DOWN","blymph"
"37",0.000144671091225971,"Enah","UP","blymph"
"38",0.000146312286503791,"Atp5o","UP","blymph"
"39",0.000156016239744211,"Slc12a1","UP","blymph"
"40",0.000157137681585254,"Ndufa13","UP","blymph"
"41",0.000164164300304097,"Atp5j","UP","blymph"
"42",0.000164773174587252,"Ndrg1","UP","blymph"
"43",0.000170248352033586,"mt-Nd1","UP","blymph"
"44",0.000189666676406185,"Atp1a1","UP","blymph"
"45",0.000202639676544633,"Cox8a","UP","blymph"
"46",0.000209124377049604,"Fkbp5","DOWN","blymph"
"47",0.000209423726666175,"Cdh11","UP","blymph"
"48",0.00020945532694381,"Ndufb9","UP","blymph"
"49",0.000210339883127536,"Rpl36al","UP","blymph"
"50",0.000217130857249208,"Itm2b","UP","blymph"
"51",0.000226180421221379,"Rfc1","UP","blymph"
"52",0.000234747109562825,"Plekha2","DOWN","blymph"
"53",0.000242747108721013,"Mrpl53","UP","blymph"
"54",0.000245367665671744,"Ebp","UP","blymph"
"55",0.000256613110371687,"Ptms","UP","blymph"
"56",0.000259797750548837,"mt-Co3","UP","blymph"
"57",0.000262787524202385,"Rab14","UP","blymph"
"58",0.000277779467385677,"Tspan8","UP","blymph"
"59",0.00029873741394639,"Mpv17l","UP","blymph"
"60",0.000308744377453179,"Fndc3a","DOWN","blymph"
"61",0.000341013236493511,"Kif20b","DOWN","blymph"
"62",0.000355983874304268,"Per1","DOWN","blymph"
"63",0.000365300035087047,"Nme7","UP","blymph"
"64",0.000380366926034979,"Gsta2","UP","blymph"
"65",0.00039974390595942,"Cxcr4","DOWN","blymph"
"66",0.000431114607685137,"Cox7c","UP","blymph"
"67",0.000436086854519871,"Tmem178","UP","blymph"
"68",0.000447239484356435,"Serf2","UP","blymph"
"69",0.000449617984901042,"Rpl38","UP","blymph"
"70",0.000452067187232621,"Etfb","UP","blymph"
"71",0.000461933090143441,"Serpina1f","UP","blymph"
"72",0.000464238152500028,"Uqcr10","UP","blymph"
"73",0.000466354847339348,"Hspa8","UP","blymph"
"74",0.000502546796280349,"Rpl11","UP","blymph"
"75",0.000528729939050674,"Lamp2","UP","blymph"
"76",0.000555338978494756,"Atp5k","UP","blymph"
"77",0.000582887470496952,"Lars2","UP","blymph"
"78",0.000602407441661337,"Wdfy4","DOWN","blymph"
"79",0.000602882393931211,"Gm27003","DOWN","blymph"
"80",0.000609715975004798,"Syk","DOWN","blymph"
"81",0.000612373685177229,"Col8a1","DOWN","blymph"
"82",0.000625794809194626,"Cop1","DOWN","blymph"
"83",0.000635709917327179,"Sim1","UP","blymph"
"84",0.00063751168271055,"Lncpint","DOWN","blymph"
"85",0.000639688575832219,"Gpc6","UP","blymph"
"86",0.000639901185819328,"Hoxd8","UP","blymph"
"87",0.000680630669778232,"Rpl27a","UP","blymph"
"88",0.000689857175081158,"Cox6a1","UP","blymph"
"89",0.000705542536967952,"Aifm1","UP","blymph"
"90",0.000706914857349032,"Kcnj1","UP","blymph"
"91",0.000713190043851766,"Cd164","UP","blymph"
"92",0.000723894029394323,"Rap1a","DOWN","blymph"
"93",0.000736386528910649,"2410004B18Rik","UP","blymph"
"94",0.000739645390363559,"Hsd17b7","UP","blymph"
"95",0.000749982576861466,"Napsa","UP","blymph"
"96",0.000758960376450026,"Wfdc2","UP","blymph"
"97",0.000802890718625845,"Usp2","DOWN","blymph"
"98",0.00084622508275314,"Gpx3","UP","blymph"
"99",0.000854901470788627,"Cryab","UP","blymph"
"100",0.000855242590922791,"Sesn1","DOWN","blymph"
"101",0.000861115020403502,"Egr1","DOWN","blymph"
"102",0.000862090491275016,"Pgk1","UP","blymph"
"103",0.000907076237189251,"Lrrc19","UP","blymph"
"104",0.000911885528643482,"Rpl24","UP","blymph"
"105",0.000964593771543602,"Itch","DOWN","blymph"
