"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"Gm47283",0,0.829614765336451,0.841,0.784,0,"heterozygous","Gm47283","excitatory.neurons"
"Arhgap15",0,0.5719054344244,0.704,0.56,0,"heterozygous","Arhgap15","excitatory.neurons"
"Mef2c",0,0.567544481302282,0.986,0.981,0,"heterozygous","Mef2c","excitatory.neurons"
"Zeb2",0,0.471721756372841,0.924,0.894,0,"heterozygous","Zeb2","excitatory.neurons"
"Hecw2",0,0.439123300847623,0.988,0.98,0,"heterozygous","Hecw2","excitatory.neurons"
"Pak7",0,0.412130480526866,0.965,0.959,0,"heterozygous","Pak7","excitatory.neurons"
"Gm29260",0,0.386694051396341,0.192,0.036,0,"heterozygous","Gm29260","excitatory.neurons"
"Asic2",0,0.311756769617014,0.992,0.991,0,"heterozygous","Asic2","excitatory.neurons"
"Arpp21",0,0.301261508840141,0.998,0.996,0,"heterozygous","Arpp21","excitatory.neurons"
"Fkbp5",0,-0.284161048237046,0.169,0.361,0,"heterozygous","Fkbp5","excitatory.neurons"
"Gm42418",0,-0.284267898702946,0.994,0.998,0,"heterozygous","Gm42418","excitatory.neurons"
"Hlf",0,-0.340876048686392,0.424,0.648,0,"heterozygous","Hlf","excitatory.neurons"
"Ptk2b",0,-0.351939505260297,0.652,0.804,0,"heterozygous","Ptk2b","excitatory.neurons"
"Lncpint",0,-0.39512713992261,0.966,0.988,0,"heterozygous","Lncpint","excitatory.neurons"
"Ccnd2",9.73946164905371e-294,-0.301386774866567,0.249,0.443,3.1442877987805e-289,"heterozygous","Ccnd2","excitatory.neurons"
"Nrep",1.12240575241872e-284,0.428177002315801,0.42,0.262,3.62357473110859e-280,"heterozygous","Nrep","excitatory.neurons"
"Wipf3",9.16828484256804e-280,-0.332811318916326,0.466,0.651,2.95988907857467e-275,"heterozygous","Wipf3","excitatory.neurons"
"R3hdm1",4.97164944328078e-276,0.323708863811656,0.997,0.996,1.60504730626877e-271,"heterozygous","R3hdm1","excitatory.neurons"
"C130071C03Rik",8.34223655135804e-271,0.308551416393914,0.939,0.922,2.69320764824043e-266,"heterozygous","C130071C03Rik","excitatory.neurons"
"Cpe",1.54277079922518e-268,-0.314065065460112,0.869,0.942,4.98068124821857e-264,"heterozygous","Cpe","excitatory.neurons"
"Nmnat2",4.71831972970753e-261,-0.290449613880631,0.765,0.882,1.52326234153878e-256,"heterozygous","Nmnat2","excitatory.neurons"
"Dapk1",3.51111193751118e-251,-0.306404737815785,0.732,0.854,1.13352737790611e-246,"heterozygous","Dapk1","excitatory.neurons"
"Nr1d1",1.33320236039301e-224,-0.155417059277905,0.132,0.282,4.30411050029279e-220,"heterozygous","Nr1d1","excitatory.neurons"
"Adcy9",2.64663620992097e-224,-0.305737727855464,0.825,0.908,8.54440034010886e-220,"heterozygous","Adcy9","excitatory.neurons"
"Dbp",3.44623013171044e-223,-0.159991030829788,0.141,0.294,1.1125809357214e-218,"heterozygous","Dbp","excitatory.neurons"
"Per1",7.14177913166864e-223,-0.206627719257195,0.289,0.473,2.3056519748679e-218,"heterozygous","Per1","excitatory.neurons"
"Ralyl",1.35475053305245e-221,0.308795372148774,0.981,0.979,4.37367662090652e-217,"heterozygous","Ralyl","excitatory.neurons"
"Camkv",8.83021323702443e-210,-0.26405584934433,0.621,0.777,2.85074604144097e-205,"heterozygous","Camkv","excitatory.neurons"
"Col25a1",1.01158640024501e-209,0.497870851563974,0.429,0.297,3.265805534551e-205,"heterozygous","Col25a1","excitatory.neurons"
"Nr1d2",3.02413760344023e-205,-0.210834681713661,0.491,0.67,9.76312583894643e-201,"heterozygous","Nr1d2","excitatory.neurons"
"Satb2",4.93991331757159e-204,0.317107284713405,0.902,0.892,1.59480161544481e-199,"heterozygous","Satb2","excitatory.neurons"
"Galnt9",6.91547895567896e-204,-0.320191296716351,0.48,0.645,2.2325932260514e-199,"heterozygous","Galnt9","excitatory.neurons"
"Map1b",2.5605769896459e-203,-0.227825596646751,0.911,0.961,8.26656675337283e-199,"heterozygous","Map1b","excitatory.neurons"
"Brinp1",3.18771128848755e-200,0.341202401777809,0.981,0.979,1.02912071237532e-195,"heterozygous","Brinp1","excitatory.neurons"
"Camk2a",5.62976688111596e-200,-0.242545543512667,0.978,0.986,1.81751393989948e-195,"heterozygous","Camk2a","excitatory.neurons"
"Kcnip3",6.37660664266765e-200,-0.297291395878484,0.624,0.766,2.05862368851883e-195,"heterozygous","Kcnip3","excitatory.neurons"
"Slc7a14",3.32174469483405e-199,-0.242903611452356,0.452,0.624,1.07239205728023e-194,"heterozygous","Slc7a14","excitatory.neurons"
"Hrh3",5.23716121828463e-199,-0.173011659156992,0.109,0.239,1.69076512771101e-194,"heterozygous","Hrh3","excitatory.neurons"
"Pnisr",1.01481500963584e-198,0.208844182859163,0.971,0.968,3.27622877710835e-194,"heterozygous","Pnisr","excitatory.neurons"
"Mlip",6.05705535333657e-197,0.349644893524961,0.855,0.809,1.95545975027118e-192,"heterozygous","Mlip","excitatory.neurons"
"Kcnh7",5.28466873231439e-196,0.23253665044382,0.993,0.992,1.70610245354038e-191,"heterozygous","Kcnh7","excitatory.neurons"
"Spns2",5.81441483431065e-192,-0.199696276710438,0.268,0.429,1.87712568510885e-187,"heterozygous","Spns2","excitatory.neurons"
"Prkn",1.87241558155298e-189,-0.249725596561827,0.894,0.942,6.04490646348563e-185,"heterozygous","Prkn","excitatory.neurons"
"Srrm4",3.75336141471033e-188,-0.257285539239321,0.698,0.821,1.21173519912508e-183,"heterozygous","Srrm4","excitatory.neurons"
"Rnf150",3.78300638956136e-188,-0.269799664478864,0.79,0.879,1.22130578280599e-183,"heterozygous","Rnf150","excitatory.neurons"
