"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.97233044138903e-19,2.8388006396629,0.989,0.136,9.59587159698036e-15,"1","Foxp2"
3.45098642706131e-18,2.82520789702026,1,0.407,1.11411645811247e-13,"1","Hs3st4"
4.63839202656694e-16,2.21601360734639,0.996,0.65,1.49745848185687e-11,"1","Garnl3"
1.71840091406337e-15,1.48353295741843,0.993,0.629,5.54768551096217e-11,"1","Slc35f1"
2.02032061346303e-15,2.14038044344877,0.991,0.468,6.52240306850403e-11,"1","Zfpm2"
4.95252932031713e-15,1.72499884964843,0.969,0.402,1.59887456577118e-10,"1","Htr1f"
6.21133003548739e-15,1.73228431385821,0.933,0.279,2.00526578865675e-10,"1","Thsd7b"
8.19424947475938e-15,2.52828512838135,0.999,0.599,2.64543150043132e-10,"1","Cdh18"
8.61074048385694e-15,1.67108749499472,0.993,0.69,2.77989145780838e-10,"1","Mctp1"
4.6712650687026e-14,1.09881310200206,0.823,0.339,1.50807121477995e-09,"1","Ipcef1"
7.0033204522028e-14,1.66999171250999,0.995,0.699,2.26095197478915e-09,"1","Nos1ap"
1.92234847904746e-13,1.5040165291843,0.98,0.592,6.20610982975681e-09,"1","Me3"
6.26125260289392e-13,1.28850912574441,0.996,0.752,2.02138279031827e-08,"1","Khdrbs3"
8.00666364524482e-13,1.46089328518778,0.9,0.298,2.58487129123084e-08,"1","Sdk2"
1.16522167902245e-12,1.25247201929983,0.994,0.651,3.76180166855609e-08,"1","Ano3"
2.3755531146054e-12,1.23551165383037,0.994,0.607,7.66923567519208e-08,"1","Pde1a"
5.1400380634019e-12,1.37093070435291,0.991,0.648,1.65940988838867e-07,"1","A830018L16Rik"
6.15814727944355e-12,1.5726315153181,0.991,0.509,1.98809626769556e-07,"1","Grm8"
1.06708172026467e-11,1.30931300763618,0.723,0.046,3.44496662570247e-07,"1","Syt6"
1.18741993705641e-11,1.46021376066997,0.985,0.59,3.8334665247929e-07,"1","Dlc1"
1.33408193835314e-11,0.99314371223298,0.976,0.604,4.30695012977927e-07,"1","Tenm1"
2.3120394196351e-11,1.30116822264514,0.885,0.386,7.46418806234994e-07,"1","Oprm1"
3.49913448803962e-11,1.51761263431458,0.949,0.547,1.12966057811871e-06,"1","Tmem178"
9.70468766953807e-11,1.33576576625294,0.999,0.789,3.13306136723367e-06,"1","Frmpd4"
1.75684875470296e-10,1.10926501380867,0.959,0.616,5.67181051968304e-06,"1","Neto1"
2.84536399106424e-10,1.70024669886737,0.981,0.502,9.18597310875179e-06,"1","Tle4"
6.31970398353863e-10,0.893698947451184,0.948,0.68,2.04025323404561e-05,"1","Gas7"
6.73319409212149e-10,1.11871722424885,0.992,0.722,2.1737443807005e-05,"1","Nfib"
8.71261583683016e-10,0.962865157899501,0.915,0.569,2.81278089676225e-05,"1","Adcy1"
1.1362385338615e-09,1.11862042662515,0.867,0.37,3.66823248271847e-05,"1","Vxn"
1.97966283878215e-09,1.46106875592753,0.964,0.368,6.39114350872429e-05,"1","Grik3"
2.45043721513301e-09,1.14905455013795,0.82,0.236,7.9109915053354e-05,"1","Pcp4"
3.22847355885293e-09,0.776839648249381,0.873,0.563,0.000104228040374008,"1","Fmn1"
3.26450312571515e-09,1.45011661957814,0.9,0.267,0.000105391218910588,"1","Nrp1"
4.60542971490976e-09,1.50060741026453,0.941,0.506,0.000148681692916147,"1","Slc35f3"
4.85657515406976e-09,0.892384153493105,0.944,0.706,0.000156789672273988,"1","Adcy9"
6.08921959085038e-09,0.915455458317683,0.971,0.72,0.000196584365271014,"1","Ncald"
6.67237782530077e-09,1.04211448690033,0.936,0.513,0.00021541104571201,"1","Ephb1"
7.17780210933259e-09,1.27873180339155,0.842,0.346,0.000231728163297693,"1","Hs3st5"
8.7214435374318e-09,0.920350755978526,0.765,0.265,0.000281563083162448,"1","Igsf21"
9.23020229842271e-09,0.870762778048162,0.867,0.43,0.000297987851002279,"1","Grik4"
1.10586647700493e-08,1.14947579894689,0.959,0.631,0.000357017933436273,"1","Syt7"
1.26725633552451e-08,0.877602381610054,0.746,0.303,0.000409121035360732,"1","Nptx1"
1.3944187992297e-08,1.0042879848306,0.766,0.29,0.000450174165143316,"1","Hs3st2"
1.5270502781216e-08,0.377404289502675,0.937,0.535,0.000492992911788777,"1","Ano4"
1.63055872419945e-08,1.49437092937143,0.911,0.602,0.000526409578520551,"1","Mgat4c"
3.13482426046869e-08,1.06777836037271,0.983,0.662,0.00101204666424971,"1","Khdrbs2"
3.52270899551047e-08,0.69392672902908,0.794,0.472,0.0011372713721106,"1","Usp46"
4.04094994972499e-08,0.900998673897583,0.974,0.696,0.00130458028176922,"1","5730522E02Rik"
4.19355252048869e-08,0.815146222426662,0.674,0.23,0.00135384649571457,"1","Rab26"
4.34482934773296e-08,0.825566696135839,0.993,0.779,0.00140268470662211,"1","Stxbp5l"
